timestamp,ds0_c,ds1_c,ds2_c,ds3_c,ds4_c,bme_t_c,bme_p_hpa,bme_h_pct,target_c,comp,hv,iso_duty,safe,up_s
2026-07-16 19:10:59.358,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,231.0
2026-07-16 19:10:59.558,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,231.0
2026-07-16 19:10:59.758,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,231.0
2026-07-16 19:10:59.995,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,232.0
2026-07-16 19:11:00.164,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,232.0
2026-07-16 19:11:00.357,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,232.0
2026-07-16 19:11:00.559,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,232.0
2026-07-16 19:11:00.759,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,232.0
2026-07-16 19:11:00.994,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,233.0
2026-07-16 19:11:01.158,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,233.0
2026-07-16 19:11:01.358,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,233.0
2026-07-16 19:11:01.558,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,233.0
2026-07-16 19:11:01.758,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,233.0
2026-07-16 19:11:01.994,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,234.0
2026-07-16 19:11:02.158,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,234.0
2026-07-16 19:11:02.358,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,234.0
2026-07-16 19:11:02.558,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,234.0
2026-07-16 19:11:02.758,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,234.0
2026-07-16 19:11:02.994,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,235.0
2026-07-16 19:11:03.158,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,235.0
2026-07-16 19:11:03.358,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,235.0
2026-07-16 19:11:03.558,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,235.0
2026-07-16 19:11:03.758,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,235.0
2026-07-16 19:11:03.994,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,236.0
2026-07-16 19:11:04.184,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,236.0
2026-07-16 19:11:04.358,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,236.0
2026-07-16 19:11:04.558,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,236.0
2026-07-16 19:11:04.757,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,236.0
2026-07-16 19:11:04.993,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,237.0
2026-07-16 19:11:05.165,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,237.0
2026-07-16 19:11:05.358,0.0,,,,,,,,-40.0,0.0,1.0,0.0,0.0,237.0
